"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0.000988460866502079,2.55730825862714,0.842,0.739,1,"HER2+","SDHC"
0.000988603581872694,1.99688252230248,0.737,0.391,1,"HER2+","ZNF195"
0.000988620397360466,1.977550910607,0.868,0.609,1,"HER2+","TMEM192"
0.000993618361085016,2.40200710452851,0.763,0.304,1,"HER2+","LGALS3BP"
0.000994311532272831,3.90675410292926,0.684,0.391,1,"HER2+","PRSS8"
0.000998721479946573,1.45353415139832,0.842,0.609,1,"HER2+","SLC30A4"
0.000998721479946573,2.19988758702134,0.842,0.609,1,"HER2+","CDK10"
0.00100207853075822,1.22248818259643,0.474,0.087,1,"HER2+","DIAPH2"
0.00100207853075822,3.45371911487821,0.474,0.087,1,"HER2+","MYO5B"
0.00100356041326216,3.68903939172784,0.526,0.13,1,"HER2+","PDIA4"
0.00100357573110876,2.20609511364268,0.632,0.304,1,"HER2+","GPATCH2"
0.00100724827790985,2.63023546819517,0.895,0.739,1,"HER2+","COX7A2"
0.00100928320725598,0.37802922661488,0.658,0.348,1,"HER2+","WNT9B"
0.00101062535254579,2.00665655009122,0.816,0.435,1,"HER2+","TMEM181"
0.00101186761469607,2.01504401586206,0.789,0.609,1,"HER2+","KLHL7"
0.00101411380670119,2.41115483602342,0.816,0.478,1,"HER2+","CCDC47"
0.00101411380670119,1.9713614796935,0.789,0.522,1,"HER2+","SERINC5"
0.00101411380670119,2.10636581583614,0.763,0.565,1,"HER2+","ISG20L2"
0.00101446109528071,2.14793321386422,0.763,0.609,1,"HER2+","FNBP1"
0.0010152742799079,2.30674647475669,0.895,0.565,1,"HER2+","PDCD6"
0.00101594917279613,1.55595908147632,0.711,0.435,1,"HER2+","ZNF417"
0.00102173540715756,1.10043233483341,0.605,0.217,1,"HER2+","IL10"
0.00102173540715756,2.99433638659393,0.605,0.217,1,"HER2+","RABGGTB"
0.00102205134083256,1.26797581470851,0.711,0.348,1,"HER2+","ERCC8"
0.00102340759246693,1.78246524331934,0.684,0.261,1,"HER2+","DVL3"
0.00102340759246693,2.69327603576111,0.658,0.304,1,"HER2+","LTA4H"
0.00102340759246693,1.71582772422824,0.658,0.304,1,"HER2+","TEDC1"
0.00102417989265351,2.57796964527632,0.5,0.087,1,"HER2+","ATP11C"
0.00102417989265351,3.16248411335659,0.5,0.087,1,"HER2+","PIP4K2C"
0.00102452547846223,1.19648952319334,0.553,0.13,1,"HER2+","CLASRP"
0.00102976754965382,1.92049872782252,0.895,0.609,1,"HER2+","SAG"
0.00102976754965382,1.46200043520954,0.868,0.652,1,"HER2+","NDUFS1"
0.00103221444372748,2.99201438414886,0.658,0.261,1,"HER2+","FAF2"
0.00103413947830319,3.08662540029953,0.579,0.217,1,"HER2+","TEX264"
0.00103429657735317,1.59551949172758,0.763,0.391,1,"HER2+","NOP56"
0.00103429657735317,3.37763712154683,0.737,0.435,1,"HER2+","ADCY7"
0.00103429657735317,1.10348378325469,0.737,0.435,1,"HER2+","CACNB3"
0.00103468542215758,3.01035774319862,0.526,0.087,1,"HER2+","USP36"
0.00103468542215758,1.08954575480637,0.5,0.13,1,"HER2+","MVK"
0.00103518343344313,0.604470508301433,0.658,0.217,1,"HER2+","NATD1"
0.00103921591443336,4.29698478957495,0.553,0.217,1,"HER2+","PARP1"
0.00104195063822639,2.07444220621793,0.842,0.478,1,"HER2+","TMEM65"
0.00104399345557219,3.46941195573236,0.684,0.478,1,"HER2+","CARHSP1"
0.0010466660310331,1.38970093105816,0.658,0.391,1,"HER2+","IL17RC"
0.001048736697957,1.4590105631642,0.763,0.435,1,"HER2+","RABL6"
0.00105011339148831,0.68715653205946,0.447,0.043,1,"HER2+","COQ3"
0.00105011339148831,2.60700803604456,0.447,0.043,1,"HER2+","C17orf58"
0.00105011339148831,2.52816082721771,0.447,0.043,1,"HER2+","NUDT16"
0.00105298310274051,1.91633283034241,0.868,0.739,1,"HER2+","AFMID"
0.00105298310274051,1.90165352687341,0.816,0.826,1,"HER2+","MSI2"
0.0010532808570017,2.08081768149735,0.868,0.565,1,"HER2+","COPS6"
0.0010532808570017,2.38026878773145,0.842,0.609,1,"HER2+","SH2D3A"
0.00105938248120475,3.4121896729767,0.737,0.522,1,"HER2+","RAN"
0.00106160786904046,2.03216777514155,0.632,0.304,1,"HER2+","PAQR5"
0.00106160786904046,2.26661819049628,0.632,0.304,1,"HER2+","TRMT44"
0.00106165486543862,1.55534186051816,0.632,0.217,1,"HER2+","DOCK9"
0.00106454603227811,1.57685600117782,0.605,0.174,1,"HER2+","MATN2"
0.00106637850430696,2.29432172484121,0.763,0.522,1,"HER2+","WDR3"
0.00106637850430696,3.12698788562677,0.763,0.522,1,"HER2+","USP14"
0.00106637850430696,2.15405711051992,0.763,0.522,1,"HER2+","RNF41"
0.00106728537310398,1.35024926399874,0.816,0.565,1,"HER2+","ZCCHC9"
0.00106728537310398,2.50205508356362,0.789,0.609,1,"HER2+","PKNOX1"
0.00106728537310398,2.30293566897122,0.789,0.609,1,"HER2+","ABCF1"
0.00106731643289583,4.12840289604631,0.553,0.174,1,"HER2+","NDUFV1"
0.00106747715129798,1.41290772725087,0.474,0.087,1,"HER2+","ABHD15"
0.00106989599050687,1.60089198411009,0.789,0.522,1,"HER2+","CCDC91"
0.00106989599050687,2.39318940090142,0.763,0.565,1,"HER2+","CYP4V2"
0.00107740122340614,2.42171156344053,0.737,0.478,1,"HER2+","MACC1"
0.00108213705739999,1.2491797637538,0.605,0.217,1,"HER2+","ALDH1B1"
0.00108574068508031,2.22634282613406,0.842,0.696,1,"HER2+","MRPL30"
0.00108574068508031,1.92320646298713,0.816,0.739,1,"HER2+","MRPL52"
0.00108762434004536,5.50113560751899,0.526,0.174,1,"HER2+","PERP"
0.00108762434004536,3.1279441053305,0.526,0.174,1,"HER2+","POR"
0.00108762434004536,2.61734015031834,0.526,0.174,1,"HER2+","FANCF"
0.00109014665029416,2.01726508913451,0.842,0.565,1,"HER2+","CRCP"
0.00109227271165307,0.318771678345684,0.605,0.261,1,"HER2+","PRR27"
0.00109533325653329,1.50793975815397,0.632,0.261,1,"HER2+","ZNF133"
0.00109927899811929,3.61461082838715,0.816,0.696,1,"HER2+","HSPA8"
0.00109927899811929,1.89427974852588,0.816,0.696,1,"HER2+","SLC37A3"
0.00110003281946425,2.64813999285898,0.5,0.13,1,"HER2+","DBNDD1"
0.00110174733741655,5.55744029968122,0.553,0.217,1,"HER2+","PLK2"
0.00110589336372346,2.06552793830656,0.711,0.304,1,"HER2+","POLQ"
0.00110589336372346,0.636751290951006,0.684,0.348,1,"HER2+","CSTF1"
0.00110678896539144,2.47403963719661,0.711,0.522,1,"HER2+","MED6"
0.00110962652860492,2.34501255590695,0.684,0.391,1,"HER2+","VLDLR"
0.00111058672390027,2.25059906112189,0.816,0.652,1,"HER2+","UBE3A"
0.00111778696477636,1.60365757207745,0.763,0.478,1,"HER2+","UTP11"
0.00111778696477636,1.95445644322937,0.737,0.522,1,"HER2+","PROM2"
0.00112850496728608,3.19686426982962,0.763,0.565,1,"HER2+","IQGAP1"
0.001128609245941,0.816952371477536,0.816,0.522,1,"HER2+","ZNF414"
0.001128609245941,2.35687924375493,0.763,0.609,1,"HER2+","PHF6"
0.00113209338484199,1.39996480545456,0.553,0.174,1,"HER2+","NEO1"
0.00113248165836549,3.24218973750247,0.711,0.435,1,"HER2+","CDK5RAP3"
0.00113248165836549,3.18484169468426,0.711,0.435,1,"HER2+","PNPLA8"
0.00113248165836549,1.74643689523253,0.711,0.435,1,"HER2+","ERLIN2"
0.00113248165836549,3.15137079289886,0.711,0.435,1,"HER2+","ATOX1"
0.0011368050088143,1.95900811682505,0.474,0.087,1,"HER2+","ATP13A1"
0.0011368050088143,1.51358649090163,0.474,0.087,1,"HER2+","CCDC160"
0.00113691642100765,3.30907193863811,0.737,0.478,1,"HER2+","CHID1"
0.00113808120153301,1.78032502772474,0.947,0.783,1,"HER2+","GPI"
0.0011544982352969,1.78313324523205,0.658,0.261,1,"HER2+","DIP2B"
0.00115870131430834,0.41120090495994,0.658,0.217,1,"HER2+","SPAAR"
